Dyad,FocalID,IndividualID,Father,Mat_Bro,Pat_Bro,Family,Focal_age,ID2_age,Age_Diff,Total_Scans,Total_Hours,Total_Minutes,Total_Follows,tally_Within1,tally_One_Five,Within_Five,Five_Twenty,AlloGr,MutlGr,RecvGr,Groom,Association
Mitchell_Jarman,Mitchell,Jarman,NoDad,NoBro,NoBro,Unrelated,15.68,9.67,-6.01,252,35.89,2153.4,38,0,0,0,0,0,0,0,0,2
Peterson_Jarman,Peterson,Jarman,NoDad,NoBro,NoBro,Unrelated,19.68,9.67,-10.01,289,40.94,2456.4,43,0,5,5,1,0,0,0.5,0.5,8
Porkpie_Jarman,Porkpie,Jarman,NoDad,NoBro,NoBro,Unrelated,20.68,9.67,-11.01,300,43.38,2602.8,45,0,0,0,0,0,0,0,0,6
Wayne_Jarman,Wayne,Jarman,NoDad,NoBro,NoBro,Unrelated,18.68,9.67,-9.01,300,43.77,2626.2,45,0,0,0,2,0,0,0,0,5
Wes_Jarman,Wes,Jarman,NoDad,NoBro,NoBro,Unrelated,17.26,9.67,-7.59,316,43.43,2605.8,46,0,0,0,0,0,0,0,0,3
Wilson_Jarman,Wilson,Jarman,NoDad,NoBro,NoBro,Unrelated,14.76,9.67,-5.09,321,46.98,2818.8,48,0,0,0,0,0,0,0.47,0.47,8
Abrams_Orff,Abrams,Orff,NoDad,NoBro,NoBro,Unrelated,14.76,9.67,-5.09,297,42.85,2571,45,0,0,0,4,0,0,0,0,9
Barron_Orff,Barron,Orff,NoDad,MatBro,NoBro,MatBro,13.51,9.67,-3.84,283,41.91,2514.6,45,0,6,6,10,0,0,0,0,15
Benny_Orff,Benny,Orff,NoDad,NoBro,NoBro,Unrelated,14.26,9.67,-4.59,314,43.22,2593.2,45,0,0,0,1,0,0,0,0,3
Booker_Orff,Booker,Orff,NoDad,NoBro,NoBro,Unrelated,12.39,9.67,-2.72,305,43.99,2639.4,46,0,1,1,2,0,0,0,0,5
Buckner_Orff,Buckner,Orff,NoDad,NoBro,Bro,Pat_Bro,14.68,9.67,-5.01,298,41.71,2502.6,45,0,0,0,0,0,0,0,0,2
Django_Orff,Django,Orff,NoDad,NoBro,NoBro,Unrelated,17.68,9.67,-8.01,309,44.26,2655.6,46,0,1,1,1,0,0,0,0,6
Erroll_Orff,Erroll,Orff,NoDad,NoBro,Bro,Pat_Bro,12.67,9.67,-3,314,46.36,2781.6,48,0,0,0,1,0,0,0,0,4
Evans_Orff,Evans,Orff,NoDad,NoBro,NoBro,Unrelated,18.68,9.67,-9.01,313,45.11,2706.6,47,0,0,0,1,0,0,0,0,3
Haden_Orff,Haden,Orff,NoDad,NoBro,NoBro,Unrelated,15.68,9.67,-6.01,313,43.21,2592.6,46,0,0,0,0,0,0,0,0,8
Hawkins_Orff,Hawkins,Orff,NoDad,NoBro,NoBro,Unrelated,19.68,9.67,-10.01,248,35.25,2115,38,0,0,0,0,0,0,0,0,2
Hicks_Orff,Hicks,Orff,NoDad,NoBro,Bro,Pat_Bro,17.68,9.67,-8.01,325,47.07,2824.2,50,1,4,5,4,0,0,0,0,10
Lovano_Orff,Lovano,Orff,NoDad,NoBro,NoBro,Unrelated,14.93,9.67,-5.26,310,44.5,2670,46,0,1,1,3,0,0,0,0,8
Mitchell_Orff,Mitchell,Orff,NoDad,NoBro,NoBro,Unrelated,15.68,9.67,-6.01,252,35.89,2153.4,38,0,0,0,0,0,0,0,0,2
Peterson_Orff,Peterson,Orff,NoDad,NoBro,NoBro,Unrelated,19.68,9.67,-10.01,289,40.94,2456.4,43,0,1,1,4,0,0,0,0,9
Porkpie_Orff,Porkpie,Orff,NoDad,NoBro,NoBro,Unrelated,20.68,9.67,-11.01,300,43.38,2602.8,45,0,0,0,0,0,0,0,0,4
Wayne_Orff,Wayne,Orff,NoDad,NoBro,NoBro,Unrelated,18.68,9.67,-9.01,300,43.77,2626.2,45,0,1,1,1,0,0,0,0,5
Wes_Orff,Wes,Orff,NoDad,NoBro,NoBro,Unrelated,17.26,9.67,-7.59,316,43.43,2605.8,46,0,0,0,3,0,0,0,0,4
Wilson_Orff,Wilson,Orff,NoDad,NoBro,NoBro,Unrelated,14.76,9.67,-5.09,321,46.98,2818.8,48,0,0,0,1,0,0,0,0,7
Abrams_Murray,Abrams,Murray,NoDad,NoBro,NoBro,Unrelated,14.76,9.8,-4.96,297,42.85,2571,45,0,2,2,1,0,0,0,0,3
Barron_Murray,Barron,Murray,NoDad,NoBro,NoBro,Unrelated,13.51,9.8,-3.71,283,41.91,2514.6,45,1,0,1,0,0,0,0,0,3
Benny_Murray,Benny,Murray,NoDad,NoBro,NoBro,Unrelated,14.26,9.8,-4.46,314,43.22,2593.2,45,0,2,2,9,0,0,0,0,26
Booker_Murray,Booker,Murray,NoDad,NoBro,NoBro,Unrelated,12.39,9.8,-2.59,305,43.99,2639.4,46,0,0,0,0,0,0,0,0,0
Buckner_Murray,Buckner,Murray,NoDad,NoBro,NoBro,Unrelated,14.68,9.8,-4.88,298,41.71,2502.6,45,0,4,4,6,0,0,1.09,1.09,28
Django_Murray,Django,Murray,NoDad,NoBro,NoBro,Unrelated,17.68,9.8,-7.88,309,44.26,2655.6,46,0,0,0,0,0,0,0,0,0
Erroll_Murray,Erroll,Murray,NoDad,NoBro,NoBro,Unrelated,12.67,9.8,-2.87,314,46.36,2781.6,48,0,0,0,0,0,0,0,0,0
Evans_Murray,Evans,Murray,NoDad,NoBro,NoBro,Unrelated,18.68,9.8,-8.88,313,45.11,2706.6,47,0,0,0,0,0,0,0,0,0
Haden_Murray,Haden,Murray,NoDad,NoBro,NoBro,Unrelated,15.68,9.8,-5.88,313,43.21,2592.6,46,0,0,0,0,0,0,0,0,0
Hawkins_Murray,Hawkins,Murray,NoDad,NoBro,NoBro,Unrelated,19.68,9.8,-9.88,248,35.25,2115,38,0,0,0,0,0,0,0,0,0
Hicks_Murray,Hicks,Murray,NoDad,NoBro,NoBro,Unrelated,17.68,9.8,-7.88,325,47.07,2824.2,50,0,0,0,0,0,0,0,0,0
Lovano_Murray,Lovano,Murray,NoDad,NoBro,NoBro,Unrelated,14.93,9.8,-5.13,310,44.5,2670,46,0,0,0,0,0,0,0,0,0
Mitchell_Murray,Mitchell,Murray,NoDad,NoBro,NoBro,Unrelated,15.68,9.8,-5.88,252,35.89,2153.4,38,0,0,0,0,0,0,0,0,0
Peterson_Murray,Peterson,Murray,NoDad,NoBro,NoBro,Unrelated,19.68,9.8,-9.88,289,40.94,2456.4,43,0,0,0,0,0,0,0,0,6
Porkpie_Murray,Porkpie,Murray,NoDad,NoBro,NoBro,Unrelated,20.68,9.8,-10.88,300,43.38,2602.8,45,0,0,0,0,0,0,0,0,1
Wayne_Murray,Wayne,Murray,NoDad,NoBro,NoBro,Unrelated,18.68,9.8,-8.88,300,43.77,2626.2,45,0,2,2,10,0,0,0,0,25
Wes_Murray,Wes,Murray,NoDad,NoBro,Bro,Pat_Bro,17.26,9.8,-7.46,316,43.43,2605.8,46,1,4,5,8,0,0,0,0,30
Wilson_Murray,Wilson,Murray,NoDad,NoBro,NoBro,Unrelated,14.76,9.8,-4.96,321,46.98,2818.8,48,0,0,0,0,0,0,0,0,0
Abrams_Bosko,Abrams,Bosko,NoDad,NoBro,NoBro,Unrelated,14.76,11.67,-3.09,297,42.85,2571,45,0,0,0,0,0,0,0,0,5
Barron_Bosko,Barron,Bosko,NoDad,NoBro,NoBro,Unrelated,13.51,11.67,-1.84,283,41.91,2514.6,45,0,0,0,0,0,0,0,0,1
Benny_Bosko,Benny,Bosko,NoDad,NoBro,NoBro,Unrelated,14.26,11.67,-2.59,314,43.22,2593.2,45,0,0,0,0,0,0,0,0,1
Booker_Bosko,Booker,Bosko,NoDad,NoBro,NoBro,Unrelated,12.39,11.67,-0.72,305,43.99,2639.4,46,0,0,0,0,0,0,0,0,4
Buckner_Bosko,Buckner,Bosko,NoDad,NoBro,NoBro,Unrelated,14.68,11.67,-3.01,298,41.71,2502.6,45,0,0,0,0,0,0,0,0,0
Django_Bosko,Django,Bosko,NoDad,NoBro,NoBro,Unrelated,17.68,11.67,-6.01,309,44.26,2655.6,46,0,0,0,0,0,0,0,0,2
Erroll_Bosko,Erroll,Bosko,NoDad,NoBro,NoBro,Unrelated,12.67,11.67,-1,314,46.36,2781.6,48,0,0,0,0,0,0,0,0,2
Evans_Bosko,Evans,Bosko,NoDad,NoBro,NoBro,Unrelated,18.68,11.67,-7.01,313,45.11,2706.6,47,0,0,0,0,0,0,0,0,4
Haden_Bosko,Haden,Bosko,NoDad,NoBro,NoBro,Unrelated,15.68,11.67,-4.01,313,43.21,2592.6,46,0,0,0,1,0,0,0,0,5
Hawkins_Bosko,Hawkins,Bosko,NoDad,NoBro,NoBro,Unrelated,19.68,11.67,-8.01,248,35.25,2115,38,1,4,5,6,1.7,0,5.93,7.63,18
Hicks_Bosko,Hicks,Bosko,NoDad,NoBro,NoBro,Unrelated,17.68,11.67,-6.01,325,47.07,2824.2,50,0,0,0,0,0,0,0,0,4
Lovano_Bosko,Lovano,Bosko,NoDad,NoBro,NoBro,Unrelated,14.93,11.67,-3.26,310,44.5,2670,46,0,0,0,0,0,0,0,0,2
Mitchell_Bosko,Mitchell,Bosko,NoDad,NoBro,NoBro,Unrelated,15.68,11.67,-4.01,252,35.89,2153.4,38,0,0,0,1,0,0,0,0,12
Peterson_Bosko,Peterson,Bosko,NoDad,NoBro,NoBro,Unrelated,19.68,11.67,-8.01,289,40.94,2456.4,43,0,4,4,1,0.15,0,0.52,0.67,2
Porkpie_Bosko,Porkpie,Bosko,NoDad,NoBro,NoBro,Unrelated,20.68,11.67,-9.01,300,43.38,2602.8,45,0,0,0,0,0,0,0,0,1
Wayne_Bosko,Wayne,Bosko,NoDad,NoBro,NoBro,Unrelated,18.68,11.67,-7.01,300,43.77,2626.2,45,0,0,0,0,0,0,0,0,0
Wes_Bosko,Wes,Bosko,NoDad,NoBro,NoBro,Unrelated,17.26,11.67,-5.59,316,43.43,2605.8,46,0,0,0,0,0,0,0,0,0
Wilson_Bosko,Wilson,Bosko,NoDad,NoBro,NoBro,Unrelated,14.76,11.67,-3.09,321,46.98,2818.8,48,0,0,0,0,0,0,0,0,3
Abrams_Booker,Abrams,Booker,NoDad,NoBro,NoBro,Unrelated,14.76,12.39,-2.37,297,42.85,2571,45,0,2,2,6,0,0,0,0,14
Barron_Booker,Barron,Booker,NoDad,NoBro,Bro,Pat_Bro,13.51,12.39,-1.12,283,41.91,2514.6,45,1,1,2,3,0,0,0,0,16
Benny_Booker,Benny,Booker,NoDad,NoBro,NoBro,Unrelated,14.26,12.39,-1.87,314,43.22,2593.2,45,0,0,0,0,0,0,0,0,2
Buckner_Booker,Buckner,Booker,NoDad,NoBro,NoBro,Unrelated,14.68,12.39,-2.29,298,41.71,2502.6,45,0,0,0,0,0,0,0,0,1
Django_Booker,Django,Booker,NoDad,NoBro,NoBro,Unrelated,17.68,12.39,-5.29,309,44.26,2655.6,46,2,3,5,13,0,0,7.33,7.33,24
Erroll_Booker,Erroll,Booker,NoDad,NoBro,NoBro,Unrelated,12.67,12.39,-0.28,314,46.36,2781.6,48,2,8,10,9,0,0,10.91,10.91,15
Evans_Booker,Evans,Booker,NoDad,MatBro,NoBro,MatBro,18.68,12.39,-6.29,313,45.11,2706.6,47,2,18,20,20,0,0,6.19,6.19,24
Haden_Booker,Haden,Booker,NoDad,NoBro,NoBro,Unrelated,15.68,12.39,-3.29,313,43.21,2592.6,46,0,4,4,13,0,0,2.17,2.17,26
Hawkins_Booker,Hawkins,Booker,NoDad,NoBro,Bro,Pat_Bro,19.68,12.39,-7.29,248,35.25,2115,38,0,0,0,2,0,0,0,0,8
Hicks_Booker,Hicks,Booker,NoDad,NoBro,NoBro,Unrelated,17.68,12.39,-5.29,325,47.07,2824.2,50,1,3,4,5,0,0,6.58,6.58,18
Lovano_Booker,Lovano,Booker,NoDad,NoBro,Bro,Pat_Bro,14.93,12.39,-2.54,310,44.5,2670,46,0,10,10,4,0,0,0,0,23
Mitchell_Booker,Mitchell,Booker,NoDad,NoBro,NoBro,Unrelated,15.68,12.39,-3.29,252,35.89,2153.4,38,0,0,0,7,0,0,0,0,7
Peterson_Booker,Peterson,Booker,NoDad,NoBro,NoBro,Unrelated,19.68,12.39,-7.29,289,40.94,2456.4,43,0,0,0,9,0,0,0,0,18
Porkpie_Booker,Porkpie,Booker,NoDad,NoBro,NoBro,Unrelated,20.68,12.39,-8.29,300,43.38,2602.8,45,0,2,2,9,0,0,0,0,22
Wayne_Booker,Wayne,Booker,NoDad,NoBro,NoBro,Unrelated,18.68,12.39,-6.29,300,43.77,2626.2,45,0,0,0,1,0,0,0,0,5
Wes_Booker,Wes,Booker,NoDad,NoBro,NoBro,Unrelated,17.26,12.39,-4.87,316,43.43,2605.8,46,0,0,0,0,0,0,0,0,2
Wilson_Booker,Wilson,Booker,NoDad,NoBro,NoBro,Unrelated,14.76,12.39,-2.37,321,46.98,2818.8,48,1,11,12,11,0,0,8.07,8.07,18
Abrams_Erroll,Abrams,Erroll,NoDad,NoBro,NoBro,Unrelated,14.76,12.67,-2.09,297,42.85,2571,45,0,0,0,3,0,0,0,0,18
Barron_Erroll,Barron,Erroll,NoDad,NoBro,NoBro,Unrelated,13.51,12.67,-0.84,283,41.91,2514.6,45,0,2,2,2,0,0,0,0,14
Benny_Erroll,Benny,Erroll,NoDad,NoBro,NoBro,Unrelated,14.26,12.67,-1.59,314,43.22,2593.2,45,0,0,0,0,0,0,0,0,4
Booker_Erroll,Booker,Erroll,NoDad,NoBro,NoBro,Unrelated,12.39,12.67,0.28,305,43.99,2639.4,46,0,1,1,6,0,0,0,0,17
Buckner_Erroll,Buckner,Erroll,NoDad,NoBro,Bro,Pat_Bro,14.68,12.67,-2.01,298,41.71,2502.6,45,0,0,0,0,0,0,0,0,3
Django_Erroll,Django,Erroll,NoDad,NoBro,NoBro,Unrelated,17.68,12.67,-5.01,309,44.26,2655.6,46,0,0,0,9,0,0,0,0,14
Evans_Erroll,Evans,Erroll,NoDad,NoBro,NoBro,Unrelated,18.68,12.67,-6.01,313,45.11,2706.6,47,0,0,0,3,0,0,0,0,18
Haden_Erroll,Haden,Erroll,NoDad,NoBro,NoBro,Unrelated,15.68,12.67,-3.01,313,43.21,2592.6,46,0,1,1,8,0,0,0,0,23
Hawkins_Erroll,Hawkins,Erroll,NoDad,NoBro,NoBro,Unrelated,19.68,12.67,-7.01,248,35.25,2115,38,0,0,0,0,0,0,0,0,8
Hicks_Erroll,Hicks,Erroll,NoDad,NoBro,Bro,Pat_Bro,17.68,12.67,-5.01,325,47.07,2824.2,50,1,9,10,8,0,0,0,0,18
Lovano_Erroll,Lovano,Erroll,NoDad,NoBro,NoBro,Unrelated,14.93,12.67,-2.26,310,44.5,2670,46,1,1,2,15,0,0,0,0,20
Mitchell_Erroll,Mitchell,Erroll,NoDad,NoBro,NoBro,Unrelated,15.68,12.67,-3.01,252,35.89,2153.4,38,0,0,0,0,0,0,0,0,3
Peterson_Erroll,Peterson,Erroll,NoDad,NoBro,NoBro,Unrelated,19.68,12.67,-7.01,289,40.94,2456.4,43,0,0,0,4,0,0,0,0,15
Porkpie_Erroll,Porkpie,Erroll,NoDad,NoBro,NoBro,Unrelated,20.68,12.67,-8.01,300,43.38,2602.8,45,0,1,1,1,0.1,0,0.27,0.37,17
Wayne_Erroll,Wayne,Erroll,NoDad,NoBro,NoBro,Unrelated,18.68,12.67,-6.01,300,43.77,2626.2,45,0,0,0,0,0,0,0,0,4
Wes_Erroll,Wes,Erroll,NoDad,NoBro,NoBro,Unrelated,17.26,12.67,-4.59,316,43.43,2605.8,46,0,0,0,0,0,0,0,0,2
Wilson_Erroll,Wilson,Erroll,NoDad,NoBro,NoBro,Unrelated,14.76,12.67,-2.09,321,46.98,2818.8,48,0,5,5,7,0,0,0,0,17
Abrams_Barron,Abrams,Barron,NoDad,NoBro,NoBro,Unrelated,14.76,13.51,-1.25,297,42.85,2571,45,0,4,4,4,0,0,0,0,14
Benny_Barron,Benny,Barron,NoDad,NoBro,NoBro,Unrelated,14.26,13.51,-0.75,314,43.22,2593.2,45,0,0,0,0,0,0,0,0,2
Booker_Barron,Booker,Barron,NoDad,NoBro,Bro,Pat_Bro,12.39,13.51,1.12,305,43.99,2639.4,46,2,0,2,1,0,0,0,0,14
Buckner_Barron,Buckner,Barron,NoDad,NoBro,NoBro,Unrelated,14.68,13.51,-1.17,298,41.71,2502.6,45,0,0,0,0,0,0,0,0,4
Django_Barron,Django,Barron,NoDad,NoBro,NoBro,Unrelated,17.68,13.51,-4.17,309,44.26,2655.6,46,0,3,3,0,0,0,0.2,0.2,13
Erroll_Barron,Erroll,Barron,NoDad,NoBro,NoBro,Unrelated,12.67,13.51,0.84,314,46.36,2781.6,48,0,1,1,1,0,0,0,0,14
Evans_Barron,Evans,Barron,NoDad,NoBro,NoBro,Unrelated,18.68,13.51,-5.17,313,45.11,2706.6,47,0,0,0,4,0,0,0,0,9
Haden_Barron,Haden,Barron,NoDad,NoBro,NoBro,Unrelated,15.68,13.51,-2.17,313,43.21,2592.6,46,0,0,0,2,0,0,0,0,15
Hawkins_Barron,Hawkins,Barron,NoDad,NoBro,Bro,Pat_Bro,19.68,13.51,-6.17,248,35.25,2115,38,0,0,0,0,0,0,0,0,3
Hicks_Barron,Hicks,Barron,NoDad,NoBro,NoBro,Unrelated,17.68,13.51,-4.17,325,47.07,2824.2,50,0,1,1,1,0,0,0,0,11
Lovano_Barron,Lovano,Barron,NoDad,NoBro,Bro,Pat_Bro,14.93,13.51,-1.42,310,44.5,2670,46,0,0,0,1,0,0,0,0,9
Mitchell_Barron,Mitchell,Barron,NoDad,NoBro,NoBro,Unrelated,15.68,13.51,-2.17,252,35.89,2153.4,38,0,0,0,0,0,0,0,0,2
Peterson_Barron,Peterson,Barron,NoDad,NoBro,NoBro,Unrelated,19.68,13.51,-6.17,289,40.94,2456.4,43,1,2,3,4,0,0,0,0,18
Porkpie_Barron,Porkpie,Barron,NoDad,NoBro,NoBro,Unrelated,20.68,13.51,-7.17,300,43.38,2602.8,45,0,0,0,3,0,0,0.15,0.15,10
Wayne_Barron,Wayne,Barron,NoDad,NoBro,NoBro,Unrelated,18.68,13.51,-5.17,300,43.77,2626.2,45,0,0,0,2,0,0,0.53,0.53,6
Wes_Barron,Wes,Barron,NoDad,NoBro,NoBro,Unrelated,17.26,13.51,-3.75,316,43.43,2605.8,46,0,0,0,1,0,0,0,0,5
Wilson_Barron,Wilson,Barron,NoDad,NoBro,NoBro,Unrelated,14.76,13.51,-1.25,321,46.98,2818.8,48,0,1,1,1,0,0,0,0,14
Abrams_Chopin,Abrams,Chopin,NoDad,NoBro,NoBro,Unrelated,14.76,13.67,-1.09,297,42.85,2571,45,0,0,0,0,0,0,0,0,5
Barron_Chopin,Barron,Chopin,NoDad,NoBro,NoBro,Unrelated,13.51,13.67,0.16,283,41.91,2514.6,45,0,0,0,0,0,0,0,0,4
Benny_Chopin,Benny,Chopin,NoDad,NoBro,NoBro,Unrelated,14.26,13.67,-0.59,314,43.22,2593.2,45,0,0,0,0,0,0,0,0,0
Booker_Chopin,Booker,Chopin,NoDad,NoBro,NoBro,Unrelated,12.39,13.67,1.28,305,43.99,2639.4,46,0,0,0,2,0,0,0,0,5
Buckner_Chopin,Buckner,Chopin,NoDad,NoBro,NoBro,Unrelated,14.68,13.67,-1.01,298,41.71,2502.6,45,0,0,0,5,0,0,0,0,2
Django_Chopin,Django,Chopin,NoDad,NoBro,NoBro,Unrelated,17.68,13.67,-4.01,309,44.26,2655.6,46,0,0,0,0,0,0,0,0,2
Erroll_Chopin,Erroll,Chopin,NoDad,NoBro,NoBro,Unrelated,12.67,13.67,1,314,46.36,2781.6,48,0,0,0,0,0,0,0,0,3
Evans_Chopin,Evans,Chopin,NoDad,NoBro,NoBro,Unrelated,18.68,13.67,-5.01,313,45.11,2706.6,47,0,0,0,0,0,0,0,0,7
Haden_Chopin,Haden,Chopin,NoDad,NoBro,NoBro,Unrelated,15.68,13.67,-2.01,313,43.21,2592.6,46,1,0,1,1,0,0,0,0,6
Hawkins_Chopin,Hawkins,Chopin,NoDad,NoBro,NoBro,Unrelated,19.68,13.67,-6.01,248,35.25,2115,38,0,1,1,5,0.8,0.1,0.37,1.27,20
Hicks_Chopin,Hicks,Chopin,NoDad,NoBro,NoBro,Unrelated,17.68,13.67,-4.01,325,47.07,2824.2,50,0,0,0,2,0,0,0,0,8
Lovano_Chopin,Lovano,Chopin,NoDad,NoBro,NoBro,Unrelated,14.93,13.67,-1.26,310,44.5,2670,46,0,0,0,0,0,0,0,0,2
Mitchell_Chopin,Mitchell,Chopin,NoDad,NoBro,NoBro,Unrelated,15.68,13.67,-2.01,252,35.89,2153.4,38,0,2,2,10,0,0,0,0,16
Peterson_Chopin,Peterson,Chopin,NoDad,NoBro,NoBro,Unrelated,19.68,13.67,-6.01,289,40.94,2456.4,43,0,0,0,0,0,0,0,0,4
Porkpie_Chopin,Porkpie,Chopin,NoDad,NoBro,NoBro,Unrelated,20.68,13.67,-7.01,300,43.38,2602.8,45,0,0,0,0,0,0,0,0,2
Wayne_Chopin,Wayne,Chopin,NoDad,NoBro,NoBro,Unrelated,18.68,13.67,-5.01,300,43.77,2626.2,45,0,0,0,0,0,0,0,0,1
Wes_Chopin,Wes,Chopin,NoDad,NoBro,NoBro,Unrelated,17.26,13.67,-3.59,316,43.43,2605.8,46,0,0,0,0,0,0,0,0,1
Wilson_Chopin,Wilson,Chopin,NoDad,NoBro,NoBro,Unrelated,14.76,13.67,-1.09,321,46.98,2818.8,48,0,0,0,0,0,0,0,0,6
Abrams_Benny,Abrams,Benny,NoDad,NoBro,NoBro,Unrelated,14.76,14.26,-0.5,297,42.85,2571,45,0,0,0,0,0,0,0,0,3
Barron_Benny,Barron,Benny,NoDad,NoBro,NoBro,Unrelated,13.51,14.26,0.75,283,41.91,2514.6,45,0,0,0,0,0,0,0,0,4
Booker_Benny,Booker,Benny,NoDad,NoBro,NoBro,Unrelated,12.39,14.26,1.87,305,43.99,2639.4,46,0,0,0,0,0,0,0,0,0
Buckner_Benny,Buckner,Benny,NoDad,NoBro,NoBro,Unrelated,14.68,14.26,-0.42,298,41.71,2502.6,45,1,3,4,7,0,0,0.38,0.38,31
Django_Benny,Django,Benny,NoDad,NoBro,NoBro,Unrelated,17.68,14.26,-3.42,309,44.26,2655.6,46,0,0,0,0,0,0,0,0,0
Erroll_Benny,Erroll,Benny,NoDad,NoBro,NoBro,Unrelated,12.67,14.26,1.59,314,46.36,2781.6,48,0,0,0,0,0,0,0,0,0
Evans_Benny,Evans,Benny,NoDad,NoBro,NoBro,Unrelated,18.68,14.26,-4.42,313,45.11,2706.6,47,0,0,0,0,0,0,0,0,1
Haden_Benny,Haden,Benny,NoDad,NoBro,NoBro,Unrelated,15.68,14.26,-1.42,313,43.21,2592.6,46,0,0,0,0,0,0,0,0,0
Hawkins_Benny,Hawkins,Benny,NoDad,NoBro,NoBro,Unrelated,19.68,14.26,-5.42,248,35.25,2115,38,0,0,0,0,0,0,0,0,0
Hicks_Benny,Hicks,Benny,NoDad,NoBro,NoBro,Unrelated,17.68,14.26,-3.42,325,47.07,2824.2,50,0,0,0,0,0,0,0,0,0
Lovano_Benny,Lovano,Benny,NoDad,NoBro,NoBro,Unrelated,14.93,14.26,-0.67,310,44.5,2670,46,0,0,0,0,0,0,0,0,1
Mitchell_Benny,Mitchell,Benny,NoDad,NoBro,NoBro,Unrelated,15.68,14.26,-1.42,252,35.89,2153.4,38,0,0,0,0,0,0,0,0,0
Peterson_Benny,Peterson,Benny,NoDad,NoBro,Bro,Pat_Bro,19.68,14.26,-5.42,289,40.94,2456.4,43,0,0,0,2,0,0,0,0,5
Porkpie_Benny,Porkpie,Benny,NoDad,NoBro,NoBro,Unrelated,20.68,14.26,-6.42,300,43.38,2602.8,45,0,0,0,0,0,0,0.08,0.08,1
Wayne_Benny,Wayne,Benny,NoDad,NoBro,NoBro,Unrelated,18.68,14.26,-4.42,300,43.77,2626.2,45,0,5,5,9,0,0,3.63,3.63,22
Wes_Benny,Wes,Benny,NoDad,NoBro,NoBro,Unrelated,17.26,14.26,-3,316,43.43,2605.8,46,3,5,8,8,1.62,1.69,2.42,5.73,31
Wilson_Benny,Wilson,Benny,NoDad,NoBro,NoBro,Unrelated,14.76,14.26,-0.5,321,46.98,2818.8,48,0,0,0,0,0,0,0,0,0
Abrams_Buckner,Abrams,Buckner,NoDad,NoBro,NoBro,Unrelated,14.76,14.68,-0.08,297,42.85,2571,45,0,0,0,0,0,0,0,0,2
Barron_Buckner,Barron,Buckner,NoDad,NoBro,NoBro,Unrelated,13.51,14.68,1.17,283,41.91,2514.6,45,0,0,0,0,0,0,0,0,4
Benny_Buckner,Benny,Buckner,NoDad,NoBro,NoBro,Unrelated,14.26,14.68,0.42,314,43.22,2593.2,45,0,5,5,6,5.11,0,1,6.11,27
Booker_Buckner,Booker,Buckner,NoDad,NoBro,NoBro,Unrelated,12.39,14.68,2.29,305,43.99,2639.4,46,0,0,0,0,0,0,0,0,1
Django_Buckner,Django,Buckner,NoDad,NoBro,NoBro,Unrelated,17.68,14.68,-3,309,44.26,2655.6,46,0,0,0,0,0,0,0,0,0
Erroll_Buckner,Erroll,Buckner,NoDad,NoBro,Bro,Pat_Bro,12.67,14.68,2.01,314,46.36,2781.6,48,0,0,0,0,0,0,0,0,0
Evans_Buckner,Evans,Buckner,NoDad,NoBro,NoBro,Unrelated,18.68,14.68,-4,313,45.11,2706.6,47,0,0,0,0,0,0,0,0,2
Haden_Buckner,Haden,Buckner,NoDad,NoBro,NoBro,Unrelated,15.68,14.68,-1,313,43.21,2592.6,46,0,0,0,0,0,0,0,0,0
Hawkins_Buckner,Hawkins,Buckner,NoDad,NoBro,NoBro,Unrelated,19.68,14.68,-5,248,35.25,2115,38,0,0,0,0,0,0,0,0,0
Hicks_Buckner,Hicks,Buckner,NoDad,NoBro,Bro,Pat_Bro,17.68,14.68,-3,325,47.07,2824.2,50,0,0,0,0,0,0,0,0,0
Lovano_Buckner,Lovano,Buckner,NoDad,NoBro,NoBro,Unrelated,14.93,14.68,-0.25,310,44.5,2670,46,0,0,0,0,0,0,0,0,1
Mitchell_Buckner,Mitchell,Buckner,NoDad,NoBro,NoBro,Unrelated,15.68,14.68,-1,252,35.89,2153.4,38,0,0,0,0,0,0,0,0,0
Peterson_Buckner,Peterson,Buckner,NoDad,NoBro,NoBro,Unrelated,19.68,14.68,-5,289,40.94,2456.4,43,3,0,3,9,0,0,14.03,14.03,10
Porkpie_Buckner,Porkpie,Buckner,NoDad,NoBro,NoBro,Unrelated,20.68,14.68,-6,300,43.38,2602.8,45,0,0,0,0,0,0,0,0,1
Wayne_Buckner,Wayne,Buckner,NoDad,NoBro,NoBro,Unrelated,18.68,14.68,-4,300,43.77,2626.2,45,0,1,1,14,0,0,0,0,27
Wes_Buckner,Wes,Buckner,NoDad,NoBro,NoBro,Unrelated,17.26,14.68,-2.58,316,43.43,2605.8,46,0,1,1,7,0,0,0,0,31
Wilson_Buckner,Wilson,Buckner,NoDad,NoBro,NoBro,Unrelated,14.76,14.68,-0.08,321,46.98,2818.8,48,0,0,0,0,0,0,0,0,1
Barron_Abrams,Barron,Abrams,NoDad,NoBro,NoBro,Unrelated,13.51,14.76,1.25,283,41.91,2514.6,45,1,2,3,5,0,0,0,0,16
Benny_Abrams,Benny,Abrams,NoDad,NoBro,NoBro,Unrelated,14.26,14.76,0.5,314,43.22,2593.2,45,0,1,1,4,0.68,0,0,0.68,7
